ts_event,close_AAPL,close_AMZN,close_MSFT,close_META,close_GOOGL,close_NVDA,close_SPY,close_GM
2021-07-09 12:00:00,142960000000,3725100000000,276390000000,14830000000,2499000000000,800000000000,432660000000,58490000000
2021-07-09 13:00:00,143940000000,3719030000000,276440000000,14760000000,2495410000000,795740000000,433590000000,58230000000
2021-07-09 14:00:00,145200000000,3717930000000,277390000000,14880000000,2506400000000,793800000000,434080000000,57950000000
2021-07-09 15:00:00,145240000000,3727500000000,277260000000,14920000000,2507600000000,796620000000,434720000000,58180000000
2021-07-09 16:00:00,145420000000,3728670000000,277590000000,14930000000,2511820000000,797770000000,434835000000,58510000000
2021-07-09 17:00:00,145110000000,3726410000000,277360000000,14900000000,2509080000000,797490000000,434970000000,58695000000
2021-07-09 18:00:00,145160000000,3725540000000,277380000000,14930000000,2510470000000,798560000000,435570000000,58865000000
2021-07-09 19:00:00,145090000000,3719320000000,277940000000,14910000000,2509860000000,802000000000,435480000000,58760000000
2021-07-09 20:00:00,144990000000,3717580000000,277810000000,14950000000,2509680000000,800980000000,435620000000,58750000000
2021-07-09 21:00:00,145100000000,3716000000000,277920000000,14950000000,2506000000000,800750000000,435630000000,58720000000
2021-07-12 08:00:00,145550000000,3735000000000,278420000000,15340000000,2523200000000,803570000000,434930000000,58400000000
2021-07-12 09:00:00,145540000000,3731700000000,278610000000,15440000000,2520000000000,803560000000,434450000000,58560000000
2021-07-12 10:00:00,145360000000,3733000000000,278490000000,15090000000,2516740000000,802530000000,433920000000,58330000000
2021-07-12 11:00:00,145770000000,3731970000000,278820000000,15080000000,2520560000000,804780000000,434660000000,58450000000
2021-07-12 12:00:00,146110000000,3737780000000,279350000000,15050000000,2525000000000,806000000000,435390000000,58750000000
2021-07-12 13:00:00,144625000000,3728320000000,277920000000,14920000000,2517280000000,808660000000,435930000000,58560000000
2021-07-12 14:00:00,144985000000,3715170000000,277720000000,14910000000,2530820000000,815860000000,436620000000,58610000000
2021-07-12 15:00:00,144850000000,3705100000000,277220000000,14910000000,2527830000000,815870000000,436590000000,58840000000
2021-07-12 16:00:00,144705000000,3707230000000,277260000000,14880000000,2528850000000,814020000000,436530000000,58980000000
2021-07-12 17:00:00,144410000000,3706750000000,277350000000,14900000000,2527970000000,814140000000,436560000000,58990000000
2021-07-12 18:00:00,144740000000,3715900000000,277440000000,14900000000,2532840000000,815970000000,436870000000,59100000000
2021-07-12 19:00:00,144500000000,3718550000000,277320000000,14930000000,2537980000000,820570000000,437090000000,59000000000
2021-07-12 20:00:00,144550000000,3715030000000,277250000000,14960000000,2542560000000,820550000000,437050000000,58880000000
2021-07-12 21:00:00,144430000000,3715000000000,277250000000,15160000000,2543730000000,820620000000,437130000000,58880000000
2021-07-13 08:00:00,144370000000,3724520000000,277810000000,15200000000,2551250000000,822800000000,437200000000,59170000000
2021-07-13 09:00:00,144800000000,3728980000000,278500000000,15150000000,2553700000000,823000000000,437110000000,59370000000
2021-07-13 10:00:00,144700000000,3728510000000,278500000000,15160000000,2551710000000,823830000000,437200000000,59330000000
2021-07-13 11:00:00,144870000000,3724230000000,278200000000,15040000000,2549610000000,823600000000,437170000000,59070000000
2021-07-13 12:00:00,143600000000,3699120000000,276600000000,14960000000,2532800000000,815100000000,435200000000,58850000000
2021-07-13 13:00:00,146340000000,3738310000000,280470000000,14940000000,2551420000000,813000000000,436790000000,58810000000
2021-07-13 14:00:00,146530000000,3757940000000,281870000000,14970000000,2552330000000,816170000000,436900000000,58340000000
2021-07-13 15:00:00,147450000000,3753000000000,282440000000,15020000000,2553710000000,816170000000,437730000000,58560000000
2021-07-13 16:00:00,147210000000,3732680000000,282000000000,15030000000,2559500000000,814740000000,437520000000,59000000000
2021-07-13 17:00:00,145740000000,3707700000000,280380000000,14930000000,2541640000000,808500000000,436470000000,59010000000
2021-07-13 18:00:00,146060000000,3705940000000,281150000000,14890000000,2548460000000,812060000000,436270000000,58890000000
2021-07-13 19:00:00,145680000000,3678850000000,280980000000,14870000000,2546840000000,809910000000,435630000000,58730000000
2021-07-13 20:00:00,145600000000,3678210000000,280950000000,14880000000,2545900000000,809340000000,435410000000,58670000000
2021-07-13 21:00:00,145680000000,3676000000000,280960000000,14920000000,2549790000000,809500000000,435420000000,58720000000
2021-07-14 08:00:00,147370000000,3688080000000,281350000000,14900000000,2552000000000,809000000000,435260000000,58730000000
2021-07-14 09:00:00,147900000000,3699000000000,282200000000,14990000000,2556460000000,812850000000,435690000000,58610000000
2021-07-14 10:00:00,148010000000,3699500000000,282040000000,14910000000,2554620000000,812000000000,435900000000,58520000000
2021-07-14 11:00:00,148640000000,3699090000000,282190000000,14960000000,2558750000000,814450000000,436330000000,58660000000
2021-07-14 12:00:00,148390000000,3709680000000,282260000000,15040000000,2562000000000,814420000000,437310000000,59030000000
2021-07-14 13:00:00,148360000000,3693170000000,282120000000,14930000000,2576500000000,806460000000,437010000000,58700000000
2021-07-14 14:00:00,149310000000,3694860000000,283210000000,14950000000,2575050000000,804280000000,437010000000,58390000000
2021-07-14 15:00:00,148010000000,3662470000000,281690000000,14750000000,2559670000000,790440000000,435000000000,57910000000
2021-07-14 16:00:00,148930000000,3708300000000,282560000000,14800000000,2570060000000,797210000000,436500000000,58275000000
2021-07-14 17:00:00,148940000000,3702390000000,282300000000,14780000000,2562490000000,795050000000,436470000000,58070000000
2021-07-14 18:00:00,149320000000,3700760000000,283000000000,14740000000,2570830000000,797410000000,436620000000,57950000000
2021-07-14 19:00:00,149210000000,3681680000000,282530000000,14750000000,2564730000000,793660000000,436220000000,58000000000
2021-07-14 20:00:00,149290000000,3683250000000,282580000000,14810000000,2566460000000,793660000000,436070000000,57940000000
2021-07-14 21:00:00,149430000000,3682500000000,282480000000,14930000000,2568500000000,794650000000,436180000000,58070000000
2021-07-15 08:00:00,149900000000,3695000000000,284100000000,15000000000,2578000000000,798180000000,436200000000,58000000000
2021-07-15 09:00:00,149840000000,3697950000000,283810000000,15000000000,2578580000000,797930000000,435870000000,57890000000
2021-07-15 10:00:00,149350000000,3687360000000,283010000000,14800000000,2572000000000,793700000000,434890000000,57890000000
2021-07-15 11:00:00,149210000000,3687000000000,282270000000,14850000000,2566580000000,793000000000,434820000000,57290000000
2021-07-15 12:00:00,149340000000,3691250000000,282170000000,14720000000,2571250000000,795560000000,434670000000,57450000000
