Window,layers,hidden,dropout,lr,mse,batch_size
15.0,3.0,32.0,0.0,0.01,6.439073624171291e+18,64.0
15.0,3.0,32.0,0.1,0.001,2.3371588934104383e+19,64.0
15.0,3.0,32.0,0.1,0.01,9.688072416267235e+18,64.0
15.0,3.0,32.0,0.3,0.001,2.233800924764705e+19,64.0
15.0,3.0,32.0,0.3,0.01,1.7079935088047466e+19,64.0
15.0,3.0,64.0,0.0,0.001,1.393455844757595e+19,64.0
15.0,3.0,64.0,0.0,0.01,5.461790837241881e+18,64.0
15.0,3.0,64.0,0.1,0.001,1.9959162015117e+19,64.0
15.0,3.0,64.0,0.1,0.01,7.095219091472429e+18,64.0
15.0,3.0,64.0,0.3,0.001,2.0836287453043667e+19,64.0
15.0,3.0,64.0,0.3,0.01,1.1671931820847618e+19,64.0
15.0,4.0,8.0,0.0,0.001,2.2623677572481565e+19,64.0
15.0,4.0,8.0,0.0,0.01,8.099884089862828e+18,64.0
15.0,4.0,8.0,0.1,0.001,3.2369457577260904e+19,64.0
15.0,4.0,8.0,0.1,0.01,5.7103164803154215e+19,64.0
15.0,4.0,8.0,0.3,0.001,2.598890191362226e+19,64.0
15.0,4.0,8.0,0.3,0.01,2.3229231503441846e+19,64.0
15.0,4.0,16.0,0.0,0.001,1.470097290592342e+19,64.0
15.0,4.0,16.0,0.0,0.01,6.224017273982303e+18,64.0
15.0,4.0,16.0,0.1,0.001,2.7084832910940324e+19,64.0
15.0,4.0,16.0,0.1,0.01,1.0439271931713786e+19,64.0
15.0,4.0,16.0,0.3,0.001,2.493678488509704e+19,64.0
15.0,4.0,16.0,0.3,0.01,1.723025570041781e+19,64.0
15.0,4.0,32.0,0.0,0.001,1.4514556928968112e+19,64.0
15.0,4.0,32.0,0.0,0.01,9.554765357383694e+18,64.0
15.0,4.0,32.0,0.1,0.001,2.799934226458603e+19,64.0
15.0,4.0,32.0,0.1,0.01,1.2561546853948953e+19,64.0
15.0,4.0,32.0,0.3,0.001,3.523636916922252e+19,64.0
15.0,4.0,32.0,0.3,0.01,2.1904091911562416e+19,64.0
15.0,4.0,64.0,0.0,0.001,1.5325952192252551e+19,64.0
15.0,4.0,64.0,0.0,0.01,5.681318078937578e+18,64.0
15.0,4.0,64.0,0.1,0.001,2.062701820407432e+19,64.0
15.0,4.0,64.0,0.1,0.01,9.627723601491278e+18,64.0
15.0,4.0,64.0,0.3,0.001,2.0573738769695244e+19,64.0
15.0,4.0,64.0,0.3,0.01,1.332057281383942e+19,64.0
15.0,1.0,8.0,0.0,0.001,3.318699850307739e+19,128.0
15.0,1.0,8.0,0.0,0.01,6.638011676522754e+18,128.0
15.0,1.0,8.0,0.1,0.001,3.073481733310503e+19,128.0
15.0,1.0,8.0,0.1,0.01,6.43200533265248e+18,128.0
15.0,1.0,8.0,0.3,0.001,1.7197428410774235e+19,128.0
15.0,1.0,8.0,0.3,0.01,5.71154389994979e+18,128.0
15.0,1.0,16.0,0.0,0.001,3.160248913479142e+19,128.0
15.0,1.0,16.0,0.0,0.01,7.990139922926318e+18,128.0
15.0,1.0,16.0,0.1,0.001,4.393070538405677e+19,128.0
15.0,1.0,16.0,0.1,0.01,7.383409102797101e+18,128.0
15.0,1.0,16.0,0.3,0.001,1.712472761362484e+19,128.0
15.0,1.0,16.0,0.3,0.01,9.246178365121102e+18,128.0
15.0,1.0,32.0,0.0,0.001,1.8311116538123868e+19,128.0
15.0,1.0,32.0,0.0,0.01,7.44514794350851e+18,128.0
15.0,1.0,32.0,0.1,0.001,1.324422302908461e+19,128.0
15.0,1.0,32.0,0.1,0.01,1.2506375756320268e+19,128.0
15.0,1.0,32.0,0.3,0.001,1.0263861094406203e+19,128.0
15.0,1.0,32.0,0.3,0.01,9.594569528168342e+18,128.0
15.0,1.0,64.0,0.0,0.001,2.360699026153032e+19,128.0
15.0,1.0,64.0,0.0,0.01,1.1593908107690975e+19,128.0
15.0,1.0,64.0,0.1,0.001,2.231336350014332e+19,128.0
15.0,1.0,64.0,0.1,0.01,6.323927984003803e+18,128.0
15.0,1.0,64.0,0.3,0.001,2.052841626254857e+19,128.0
15.0,1.0,64.0,0.3,0.01,6.639762847031407e+18,128.0
15.0,2.0,8.0,0.0,0.001,1.7966821448698313e+19,128.0
15.0,2.0,8.0,0.0,0.01,1.0198418240673167e+19,128.0
15.0,2.0,8.0,0.1,0.001,2.470984836588036e+19,128.0
15.0,2.0,8.0,0.1,0.01,9.65885495742564e+18,128.0
15.0,2.0,8.0,0.3,0.001,3.970126832536168e+19,128.0
15.0,2.0,8.0,0.3,0.01,1.7850936120954833e+19,128.0
15.0,2.0,16.0,0.0,0.001,6.178726173175879e+19,128.0
15.0,2.0,16.0,0.0,0.01,6.308871698993834e+18,128.0
15.0,2.0,16.0,0.1,0.001,1.85817538880004e+19,128.0
15.0,2.0,16.0,0.1,0.01,1.3203723797376082e+19,128.0
